hand,hero_win,villain_win,tie
JsKs,0.59,0.386,0.024
JsAc,0.6,0.372,0.028
JsAd,0.652,0.332,0.016
JsAh,0.67,0.316,0.014
JsAs,0.616,0.364,0.02
QcQd,0.794,0.198,0.008
QcQh,0.794,0.202,0.004
QcQs,0.812,0.182,0.006
QcKc,0.602,0.372,0.026
QcKd,0.598,0.384,0.018
QcKh,0.614,0.358,0.028
QcKs,0.614,0.366,0.02
QcAc,0.656,0.328,0.016
QcAd,0.618,0.372,0.01
QcAh,0.638,0.348,0.014
QcAs,0.664,0.312,0.024
QdQh,0.764,0.234,0.002
QdQs,0.776,0.22,0.004
QdKc,0.608,0.374,0.018
QdKd,0.612,0.36,0.028
QdKh,0.606,0.38,0.014
QdKs,0.566,0.394,0.04
QdAc,0.6,0.378,0.022
QdAd,0.654,0.332,0.014
QdAh,0.66,0.322,0.018
QdAs,0.628,0.346,0.026
QhQs,0.806,0.188,0.006
QhKc,0.626,0.354,0.02
QhKd,0.636,0.356,0.008
QhKh,0.62,0.366,0.014
QhKs,0.566,0.418,0.016
QhAc,0.648,0.336,0.016
QhAd,0.658,0.328,0.014
QhAh,0.662,0.314,0.024
QhAs,0.634,0.356,0.01
QsKc,0.602,0.376,0.022
QsKd,0.622,0.352,0.026
QsKh,0.596,0.392,0.012
QsKs,0.634,0.338,0.028
QsAc,0.66,0.322,0.018
QsAd,0.62,0.362,0.018
QsAh,0.652,0.326,0.022
QsAs,0.636,0.346,0.018
KcKd,0.826,0.162,0.012
KcKh,0.844,0.146,0.01
KcKs,0.812,0.178,0.01
KcAc,0.67,0.31,0.02
KcAd,0.636,0.352,0.012
KcAh,0.638,0.346,0.016
KcAs,0.636,0.344,0.02
KdKh,0.824,0.164,0.012
KdKs,0.838,0.154,0.008
KdAc,0.624,0.36,0.016
KdAd,0.66,0.33,0.01
KdAh,0.654,0.328,0.018
KdAs,0.642,0.344,0.014
KhKs,0.808,0.186,0.006
KhAc,0.646,0.346,0.008
KhAd,0.638,0.348,0.014
KhAh,0.682,0.306,0.012
KhAs,0.632,0.35,0.018
KsAc,0.664,0.316,0.02
KsAd,0.624,0.36,0.016
KsAh,0.626,0.36,0.014
KsAs,0.65,0.328,0.022
AcAd,0.864,0.134,0.002
AcAh,0.842,0.146,0.012
AcAs,0.828,0.168,0.004
AdAh,0.846,0.148,0.006
AdAs,0.872,0.124,0.004
AhAs,0.804,0.192,0.004
